[2024-10-06T20:52:04.980+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flight_data_pipeline.upload_to_db scheduled__2024-10-05T00:00:00+00:00 [queued]>
[2024-10-06T20:52:04.990+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flight_data_pipeline.upload_to_db scheduled__2024-10-05T00:00:00+00:00 [queued]>
[2024-10-06T20:52:04.991+0000] {taskinstance.py:1361} INFO - Starting attempt 14 of 14
[2024-10-06T20:52:05.007+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): upload_to_db> on 2024-10-05 00:00:00+00:00
[2024-10-06T20:52:05.013+0000] {standard_task_runner.py:57} INFO - Started process 65 to run task
[2024-10-06T20:52:05.017+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'flight_data_pipeline', 'upload_to_db', 'scheduled__2024-10-05T00:00:00+00:00', '--job-id', '133', '--raw', '--subdir', 'DAGS_FOLDER/flights_dag.py', '--cfg-path', '/tmp/tmpjn17h6h9']
[2024-10-06T20:52:05.020+0000] {standard_task_runner.py:85} INFO - Job 133: Subtask upload_to_db
[2024-10-06T20:52:05.268+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Tan Son Nhat International', 'Asia/Ho_Chi_Minh', 'Chu-Bu Centrair International (Central Japan International)', 'Asia/Tokyo', '1', 'Vietnam Airlines', '340')
[2024-10-06T20:52:05.268+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Madras International (Meenambakkam)', 'Asia/Kolkata', 'Abu Dhabi International', 'Asia/Dubai', 'A', 'IndiGo', '1458')
[2024-10-06T20:52:05.268+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Seoul (Incheon)', 'Asia/Seoul', 'Duong Dong', 'Asia/Ho_Chi_Minh', '2', None, '2975')
[2024-10-06T20:52:05.269+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Nadi International', 'Pacific/Fiji', 'Matei', 'Pacific/Fiji', None, 'Fiji Airways', '151')
[2024-10-06T20:52:05.269+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Sardar Vallabhbhai Patel International Airport', 'Asia/Kolkata', 'Noibai International', 'Asia/Ho_Chi_Minh', 'T2', 'VietJet Air', '1926')
[2024-10-06T20:52:05.269+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Sardar Vallabhbhai Patel International Airport', 'Asia/Kolkata', 'Noibai International', 'Asia/Ho_Chi_Minh', 'T2', None, '4926')
[2024-10-06T20:52:05.270+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Auckland International', 'Pacific/Auckland', 'Adelaide International Airport', 'Australia/Adelaide', '1', 'Air China LTD', '5105')
[2024-10-06T20:52:05.270+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Ngurah Rai International', 'Asia/Makassar', 'Shenzhen', 'Asia/Shanghai', 'T3', 'China Southern Airlines', '6066')
[2024-10-06T20:52:05.270+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Christchurch International', 'Pacific/Auckland', 'Sydney Kingsford Smith Airport', 'Australia/Sydney', '1', 'American Airlines', '7292')
[2024-10-06T20:52:05.271+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Christchurch International', 'Pacific/Auckland', 'Sydney Kingsford Smith Airport', 'Australia/Sydney', '1', 'AlphaSky', '5016')
[2024-10-06T20:52:05.271+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Christchurch International', 'Pacific/Auckland', 'Sydney Kingsford Smith Airport', 'Australia/Sydney', '1', 'Emirates', '5046')
[2024-10-06T20:52:05.271+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Christchurch International', 'Pacific/Auckland', 'Sydney Kingsford Smith Airport', 'Australia/Sydney', '1', 'British Airways', '7424')
[2024-10-06T20:52:05.272+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Chhatrapati Shivaji International (Sahar International)', 'Asia/Kolkata', 'Indira Gandhi International', 'Asia/Kolkata', '3', 'Air India Express', '2773')
[2024-10-06T20:52:05.272+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Wellington International', 'Pacific/Auckland', 'Nelson', 'Pacific/Auckland', None, 'Sounds Air', '343')
[2024-10-06T20:52:05.272+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Tagbilaran', 'Asia/Manila', 'Seoul (Incheon)', 'Asia/Seoul', '1', 'Air Busan', '7145')
[2024-10-06T20:52:05.273+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Hong Kong International', 'Asia/Hong_Kong', 'Melbourne - Tullamarine Airport', 'Australia/Melbourne', '2', 'Cathay Pacific', '105')
[2024-10-06T20:52:05.273+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Beijing Capital International', 'Asia/Shanghai', 'Istanbul Airport', 'Europe/Istanbul', 'I', 'Turkish Airlines', '89')
[2024-10-06T20:52:05.273+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Beijing Capital International', 'Asia/Shanghai', 'Singapore Changi', 'Asia/Singapore', '1', 'Air China LTD', '975')
[2024-10-06T20:52:05.274+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Tamworth Regional Airport', 'Australia/Sydney', 'Sydney Kingsford Smith Airport', 'Australia/Sydney', '3', 'QantasLink', '2001')
[2024-10-06T20:52:05.274+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Haneda Airport', 'Asia/Tokyo', 'Beijing Capital International', 'Asia/Shanghai', '2', 'Hainan Airlines', '7920')
[2024-10-06T20:52:05.274+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Haneda Airport', 'Asia/Tokyo', 'Shanghai Pudong International', 'Asia/Shanghai', '2', 'Peach Aviation', '899')
[2024-10-06T20:52:05.275+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Haneda Airport', 'Asia/Tokyo', 'Hong Kong International', 'Asia/Hong_Kong', '1', 'Hong Kong Express', '629')
[2024-10-06T20:52:05.275+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Perth International', 'Australia/Perth', 'Kuala Lumpur International Airport (klia)', 'Asia/Kuala_Lumpur', '1', 'Turkish Airlines', '4806')
[2024-10-06T20:52:05.276+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Perth International', 'Australia/Perth', 'Kuala Lumpur International Airport (klia)', 'Asia/Kuala_Lumpur', '1', 'Qatar Airways', '5019')
[2024-10-06T20:52:05.276+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Perth International', 'Australia/Perth', 'Kuala Lumpur International Airport (klia)', 'Asia/Kuala_Lumpur', '1', 'Air Mauritius', '9781')
[2024-10-06T20:52:05.276+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Perth International', 'Australia/Perth', 'Kuala Lumpur International Airport (klia)', 'Asia/Kuala_Lumpur', '1', 'KLM', '3962')
[2024-10-06T20:52:05.277+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Perth International', 'Australia/Perth', 'Kuala Lumpur International Airport (klia)', 'Asia/Kuala_Lumpur', '1', 'Firefly', '7156')
[2024-10-06T20:52:05.277+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Singapore Changi', 'Asia/Singapore', 'Fukuoka', 'Asia/Tokyo', 'I', 'ANA', '6270')
[2024-10-06T20:52:05.278+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Singapore Changi', 'Asia/Singapore', 'Beijing Capital International', 'Asia/Shanghai', '3', 'Air China LTD', '5286')
[2024-10-06T20:52:05.278+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Haneda Airport', 'Asia/Tokyo', 'Tan Son Nhat International', 'Asia/Ho_Chi_Minh', '2', 'VietJet Air', '821')
[2024-10-06T20:52:05.278+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Haneda Airport', 'Asia/Tokyo', 'Ninoy Aquino International', 'Asia/Manila', '1', 'JAL', '77')
[2024-10-06T20:52:05.279+0000] {logging_mixin.py:154} INFO - (datetime.date(2024, 10, 7), 'active', 'Haneda Airport', 'Asia/Tokyo', 'Ninoy Aquino International', 'Asia/Manila', '1', 'Philippine Airlines', '423')
